user,date,content
Hersheys,2021-12-06 14:05:22+00:00,"The Grinch has turned to a sweet one! Reply #GrinchKisses #Sweepstakes &amp; you may just win free bags of HERSHEY'S Kisses Milk Chocolates with Grinch Foils!

NO PURCH. NEC. Ends 12/8/21. 18+ (19 AL/NE, 21 MS). For Official Rules, visit https://t.co/6sbYfFHclz https://t.co/fiUICON7a9"
Hersheys,2021-12-01 18:56:04+00:00,@djcat1022 We are sorry to see this! Please send us a DM with the UPC and manufacturing codes from the back of the package so we can help!
Hersheys,2021-11-30 14:09:43+00:00,"HERSHEY'S KISSES have helped the Grinch's heart grow three sizes! Reply with #GrinchKisses #Sweepstakes and the Grinch may just gift you FREE bags of his new favorite treat!

NO PURCH. NEC. Ends 12/8/21. 18+ (19 AL/NE, 21 MS). For Official Rules, visit https://t.co/6sbYfFHclz https://t.co/PuyIbRdAJ1"
Hersheys,2021-11-24 10:23:27+00:00,@_o_kira_ We apologize for the experience you’ve had and appreciate that you brought this incident to our attention. Please forward us your contact number at consumercare@hersheys.com so that our company personnel can get in touch with you at the earliest.
Hersheys,2021-11-23 01:20:16+00:00,@mahmed001 Hi Hardar! We currently have products that are Halal. Please let me know which specific product you are interested in so we can provide more information.
Hersheys,2021-11-12 17:19:28+00:00,"@AmbiguousStonks We can assure you that this is completely false. This terminology was never part of the vocabulary of this beloved product – evidenced by the earliest documentation from 1924 when we applied for a patent on the branded piece of paper. Read more, here: https://t.co/NuKb779lcQ"
Hersheys,2021-11-10 05:02:09+00:00,"@motownxciii Thanks for flagging this, Eddie! Please send us a DM with the UPC and manufacturing code so we can help."
Hersheys,2021-11-09 22:04:19+00:00,@Lovekyle2009 Thanks for bringing this to our attention! It looks like it was exposed to heat during the distribution process. Please send us a DM with the UPC.
Hersheys,2021-11-02 15:47:58+00:00,@LFabloL Please send us DM with more details about what happened so we can help!
Hersheys,2021-11-02 14:32:42+00:00,@SlowCheetah30 Hey! Thanks for flagging this down. Send us a DM with the manufacturing code from the wrapper and the UPC.
Hersheys,2021-10-29 20:25:48+00:00,"@tammee101 Hi, Tammy. We are sorry to see this! Please send us a DM with the UPC and manufacturing codes from the back of the bag so we can help!"
Hersheys,2021-10-27 18:31:34+00:00,@veroalequiroga We are sorry to see this! Please send us a DM with the UPC and manufacturing codes from the back of the bag so we can help!
Hersheys,2021-10-20 14:49:10+00:00,@DNeakarse We are sorry to hear this! Please send us a DM with the UPC and manufacturing codes from the back of the bag so we can help!
Hersheys,2021-10-18 18:37:43+00:00,@YOUNGCEDE We are sorry to see this! It looks like the product was exposed to too much heat or humidity during the distribution process. Please send us a DM with the UPC and manufacturing codes from the back of the package so we can help!
Hersheys,2021-10-14 18:52:02+00:00,@LauraHOTMomma We are sorry to see this! Please send us a DM with the UPC and manufacturing codes from the back of the package so we can help!
Hersheys,2021-10-08 15:57:49+00:00,"@Lisamariemm Hi, Lisa! You can find them at select Target stores or on the Target website!"
Hersheys,2021-09-30 18:53:07+00:00,"@zaacmp Hi, Raquel! We are sorry to see this. Please send us a DM with your contact information so one of our team members from your area can get in touch with you!"
Hersheys,2021-09-09 17:48:08+00:00,"After their annual “Ox Cart Days” festival was cancelled last year, high school students in Crookston, Minn. built S’mores fire tables for this year’s celebration, sparking a sweet community gathering. #heartwarmingtheworld. See the full video here: https://t.co/1gDbotqnQ7"
Hersheys,2021-09-09 17:16:34+00:00,"@ramonaguirree Hola Ramón!

Para darle seguimiento a tu caso favor de enviar un mensaje al número de WhatsApp 3316052614

¡Que tengas un dulce día!"
Hersheys,2021-09-07 19:23:16+00:00,"@hannah_eades7 Hi, Hannah! Send us a DM with your zip code so we can try to track some down in your area!"
Hersheys,2021-09-06 20:23:08+00:00,"@jmvvb Hola Juan!

Para darle seguimiento a tu caso favor de enviar un mensaje al 3316052614

¡Que tenas un dulce día!"
Hersheys,2021-09-02 05:52:05+00:00,"@saibhakt11 We're sorry to learn of this situation. Please send us a DM with the UPC and manufacturing code from the package, as well as the store name, location, and date of purchase so we can help."
Hersheys,2021-09-02 05:49:18+00:00,"@TrooperDale Yes, it's still available, Dale! Please send us a DM with your zip code so we can track them down for you."
Hersheys,2021-08-30 20:16:21+00:00,"@susydelafuente Hola Susana!

Para darle seguimiento a tu queja favor de enviar un mensaje de WhatsApp al 3316052614

¡Que tengas un dulce día!"
Hersheys,2021-08-30 18:10:21+00:00,"@yanab1674 Hi, we are sorry to see this. It looks like the product was exposed to too much heat or humidity during the distribution process. Please send us a DM with the UPC and manufacturing codes from the back of the package so we can help!"
Hersheys,2021-08-12 19:31:33+00:00,@landgazr We are sorry to see this! Please send us a DM with the UPC and manufacturing codes from the back of the package so we can help!
Hersheys,2021-08-12 18:59:37+00:00,@babydoll282828 We are sorry to see  this! Please send us a DM with the UPC and manufacturing codes from the back of the bag so we can help!
Hersheys,2021-08-10 13:25:09+00:00,"Looking for s’more reasons to love National S’mores Day? Here are two 😊 Try the new @krispykreme s’mores donuts, made with HERSHEY’S Chocolate, now through August 29. https://t.co/7a0eaVTfog"
Hersheys,2021-08-09 21:03:14+00:00,@krispykreme 👀
Hersheys,2021-08-04 04:59:04+00:00,@radhika21405114 We're very sorry to hear of your disappointment. Please leave us your contact number and complete address on consumercare@hersheys.com to connect with you for further resolution.
Hersheys,2021-08-03 20:26:12+00:00,"@PaladinFelix We are sorry to see this! It looks like the product was exposed to too much heat or humidity during the distribution process. Please send us a DM with your email address, as well as the UPC and manufacturing codes from the back of the package. Thanks!"
Hersheys,2021-07-30 00:43:17+00:00,"@chocofunk88 Hi Matthew! We're so sorry to say that HERSHEY'S Gold is no longer being made. We appreciate you letting us know it was a favorite, and will certainly add your vote to bring it back. Thanks for reaching out!"
Hersheys,2021-07-22 02:46:49+00:00,@AtaraxiaVin Hi! None of our chocolate products have gelatin. Hope this helps!
Hersheys,2021-07-19 22:51:33+00:00,"@TravisWhitman We're sorry to hear this, Travis. If possible, please send us a DM with the UPC and manufacturing code. Thanks!"
Hersheys,2021-07-19 22:47:54+00:00,@ErazzCubsWin We'll add your vote for its return!
Hersheys,2021-07-12 19:49:14+00:00,"@cloud__qiss Hi, Miku. We are sorry to see this! It looks like the product was exposed to too much heat or humidity during the distribution process. Please send us a DM with the UPC and manufacturing codes from the back of the package so we can help!"
Hersheys,2021-07-09 09:25:25+00:00,"@kaseykahnerule1 We're so sorry for missing your post, Kasey. We appreciate your interest in HERSHEY'S Bites, and will certainly add your vote to bring it back. Thanks for reaching out!"
Hersheys,2021-07-08 14:01:19+00:00,@JetPuffed Let the memory-making begin 😊
Hersheys,2021-07-02 15:42:46+00:00,"@sydn3y4 We're sorry to see this. If possible, please send us a DM with the manufacturing code and UPC. Thank you."
Hersheys,2021-06-28 13:45:54+00:00,Love is sweet. Love is kind. Love is for everyone. #pridemonth #pride https://t.co/tRqhATwr3x
Hersheys,2021-06-07 18:29:12+00:00,@StopherdVicki Hershey does not tolerate child labor. We encourage you to read more about our Cocoa For Good strategy and all of our cocoa sustainability programs as well as our overall Corporate Social Responsibility leadership: https://t.co/9xIpOFHqTG
Hersheys,2021-06-07 17:16:57+00:00,@c_Pope We are sorry to say that this product is not currently available at this time. We will certainly add your vote for its return!
Hersheys,2021-05-27 17:26:20+00:00,"@Zane_Rad Hi, Zane. You can send us a DM here any time, or you can call us at 1 (800) 468-1714 from 9:00 AM to 5:00 PM EST Monday-Friday."
Hersheys,2021-05-24 20:29:43+00:00,"@rejectednut Hi, we are sorry to see this. It looks like the products were exposed to heat or humidity during the distribution process. Please send us a DM with the UPC and manufacturing codes from the back of the package so we can help!"
Hersheys,2021-05-21 01:42:23+00:00,"@MonwayBaker We'll certainly add your vote to bring them back, Austin! Thanks for reaching out!"
