,user,content,prediction
0,Hersheys,The Grinch turned sweet one Reply GrinchKisses Sweepstakes amp may win free bags HERSHEYS Kisses Milk Chocolates Grinch Foils NO PURCH NEC Ends 12821 18 19 ALNE 21 MS For Official Rules visit,B
1,Hersheys,We sorry see Please send us DM UPC manufacturing codes back package help,B
2,Hersheys,HERSHEYS KISSES helped Grinchs heart grow three sizes Reply GrinchKisses Sweepstakes Grinch may gift FREE bags new favorite treat NO PURCH NEC Ends 12821 18 19 ALNE 21 MS For Official Rules visit,B
3,Hersheys,We apologize experience ’ appreciate brought incident attention Please forward us contact number consumercarecom company personnel get touch early,A-
4,Hersheys,Hi Hardar We currently products Halal Please let know specific product interested provide information,B
5,Hersheys,We assure completely false This terminology never part vocabulary beloved product – evidenced early documentation 1924 applied patent branded piece paper Read,B
6,Hersheys,Thanks flagging Eddie Please send us DM UPC manufacturing code help,B
7,Hersheys,Thanks bringing attention It looks like exposed heat distribution process Please send us DM UPC,A-
8,Hersheys,Please send us DM details happened help,B
9,Hersheys,Hey Thanks flagging Send us DM manufacturing code wrapper UPC,B
10,Hersheys,Hi Tammy We sorry see Please send us DM UPC manufacturing codes back bag help,B
11,Hersheys,We sorry see Please send us DM UPC manufacturing codes back bag help,B
12,Hersheys,We sorry hear Please send us DM UPC manufacturing codes back bag help,B
13,Hersheys,We sorry see It looks like product exposed much heat humidity distribution process Please send us DM UPC manufacturing codes back package help,B
14,Hersheys,We sorry see Please send us DM UPC manufacturing codes back package help,B
15,Hersheys,Hi Lisa You find select Target stores Target website,B
16,Hersheys,Hi Raquel We sorry see Please send us DM contact information one team members area get touch,B
17,Hersheys,After annual “ Ox Cart Days ” festival cancelled last year high school students Crookston Minn built S ’ mores fire tables year ’ celebration sparking sweet community gathering heartwarmingtheworld See full video,B
18,Hersheys,Hola Ramón Para darle seguimiento tu caso favor de enviar un mensaje al número de WhatsApp 3316052614 ¡Que tengas un dulce día,B
19,Hersheys,Hi Hannah Send us DM zip code try track area,B
20,Hersheys,Hola Juan Para darle seguimiento tu caso favor de enviar un mensaje al 3316052614 ¡Que tenas un dulce día,B
21,Hersheys,Were sorry learn situation Please send us DM UPC manufacturing code package well store name location date purchase help,D
22,Hersheys,Yes still available Dale Please send us DM zip code track,B
23,Hersheys,Hola Susana Para darle seguimiento tu queja favor de enviar un mensaje de WhatsApp al 3316052614 ¡Que tengas un dulce día,B
24,Hersheys,Hi sorry see It looks like product exposed much heat humidity distribution process Please send us DM UPC manufacturing codes back package help,B
25,Hersheys,We sorry see Please send us DM UPC manufacturing codes back package help,B
26,Hersheys,We sorry see Please send us DM UPC manufacturing codes back bag help,B
27,Hersheys,Looking ’ reasons love National S ’ mores Day Here two 😊 Try new ’ mores donuts made HERSHEY ’ S Chocolate August 29,B
28,Hersheys,👀,B
29,Hersheys,Were sorry hear disappointment Please leave us contact number complete address consumercarecom connect resolution,D
30,Hersheys,We sorry see It looks like product exposed much heat humidity distribution process Please send us DM email address well UPC manufacturing codes back package Thanks,B
31,Hersheys,Hi Matthew Were sorry say HERSHEYS Gold long made We appreciate letting us know favorite certainly add vote bring back Thanks reaching,B
32,Hersheys,Hi None chocolate products gelatin Hope helps,B
33,Hersheys,Were sorry hear Travis If possible please send us DM UPC manufacturing code Thanks,B
34,Hersheys,Well add vote return,B
35,Hersheys,Hi Miku We sorry see It looks like product exposed much heat humidity distribution process Please send us DM UPC manufacturing codes back package help,B
36,Hersheys,Were sorry missing post Kasey We appreciate interest HERSHEYS Bites certainly add vote bring back Thanks reaching,B
37,Hersheys,Let memorymaking begin 😊,C
38,Hersheys,Were sorry see If possible please send us DM manufacturing code UPC Thank,B
39,Hersheys,Love sweet Love kind Love everyone pridemonth pride,B
40,Hersheys,Hershey tolerate child labor We encourage read Cocoa For Good strategy cocoa sustainability programs well overall Corporate Social Responsibility leadership,B
41,Hersheys,We sorry say product currently available time We certainly add vote return,B
42,Hersheys,Hi Zane You send us DM time call us 1 800 4681714 900 AM 500 PM EST MondayFriday,B
43,Hersheys,Hi sorry see It looks like products exposed heat humidity distribution process Please send us DM UPC manufacturing codes back package help,B
44,Hersheys,Well certainly add vote bring back Austin Thanks reaching,B
45,Hersheys,We sorry see please send us DM UPC manufacturing codes back package came help,B
46,Hersheys,We sorry see It looks like product exposed heat humidity sometime distribution process Please send us DM help,B
47,Hersheys,Hi Rebecca We sorry hear Please send us DM UPC manufacturing codes back bag help,B
48,Hersheys,We sorry see Please send us DM UPC manufacturing codes back package help,B
49,Hersheys,Hi Leo Unfortunately product available time We certainly add vote return,B
50,Hersheys,Were sorry see T Please give HCW merchandise team call 7175344942 assist concern,B
51,Hersheys,Hola Para darle seguimiento tu queja favor de enviar un mensaje de WhatsApp al 3316052614 ¡Que tengas un dulce día,B
52,Hersheys,Hola Para darle seguimiento tu caso favor de enviar un mensaje de WhatsApp al 3316052614 ¡Que tengas un dulce día,B
53,Hersheys,Hi Claire We sorry see Please send us DM UPC manufacturing codes back package help,B
54,Hersheys,We sorry hear Please send us DM UPC manufacturing codes back package help,B
55,Hersheys,Hi Shea Well certainly add vote return KISSES filled Coconut Crème Milk Chocolate Candy,B
56,Hersheys,We sorry hear Please send us DM UPC manufacturing codes back package help,B
57,Hersheys,Even marshmallows ’ wait ’ mores season We relate,B
58,Hersheys,Hi Please send us direct message get touch,B
59,Hersheys,Hi We sorry see It looks like product exposed heat humidity sometime distribution process Please send us DM UPC manufacturing codes back package help,B
60,Hersheys,How know favorite sandwich order 😊,D
61,Hersheys,Hershey tolerate child labor We encourage read Cocoa For Good strategy cocoa sustainability programs well overall Corporate Social Responsibility leadership,B
62,Hersheys,We sorry see Emma Please send us DM UPC manufacturing codes back package help,B
63,Hersheys,Hi Kim We apologize delay message come end Please check DMs ☺️,B
64,Hersheys,Hershey tolerate child labor We encourage read Cocoa For Good strategy cocoa sustainability programs well overall Corporate Social Responsibility leadership,B
65,Hersheys,That ’ tough question… totally depends mood Either way marshmallow essential part delicious smore 😋 JPBurntMarshmallows,C
66,Hersheys,Have tried making Celebrate HerSHEys ’ bar If ’ love see Post hashtag CelebrateSHE might share page 😊,B
67,Hersheys,Thanks joining celebration Mary Send us message chat things CelebrateSHE,B
68,Hersheys,Aw sweet Thank much sharing 😊,B
69,Hersheys,We sorry see Shelina This definitely looks like error packaging process Please send us DM UPC manufacturing codes package help,A-
70,Hersheys,Hi Anna Send us DM zip code try track area,B
71,Hersheys,Hershey tolerate child labor We encourage read Cocoa For Good strategy cocoa sustainability programs well overall Corporate Social Responsibility leadership,B
72,Hersheys,We sorry hear Tara Please send us DM UPC manufacturing codes back bag help,B
73,Hersheys,Every day new day celebrate ‘ SHE ’ Check fun DIY project making ‘ Celebrate HerSHEy ’ ’ bars home loved ones Who YOU celebrating Tell us CelebrateSHE,B
74,Hersheys,Yes Theyre still available TJ You use online product locator find near,C
75,Hersheys,Hi Dylan We sorry hear Please send us DM UPC manufacturing codes back package help,B
76,Hersheys,Hi sorry hear Please send us DM UPC manufacturing codes back package help,B
77,Hersheys,We ’ happy celebrate CelebrateSHE,B
78,Hersheys,Happy InternationalWomensDay From mothers sisters daughters granddaughters aunts nieces goddaughters godmothers neighbors colleagues amp friends strangers want celebrate every woman Who YOU celebrating Tell us CelebrateSHE,B
79,Hersheys,Hi Meg We ’ reached aggregate 1 1 pay US workforce nearly 5050 gender diversity amp womenowned businesses across supply chain ingredients packaging Many large business lines led women,B
80,Hersheys,Were glad like,A-
81,Hersheys,Hi Eric We still several factories Pennsylvania However offering tours time You could check Hersheys Chocolate World son learn lot factories taste plenty yummy treats,B
82,Hersheys,Notice anything different us ❤️ This InternationalWomensDay ’ celebrating women limitededition ‘ Celebrate HerSHEy ’ ’ bars Be among first 1000 visitors select Hershey ’ Chocolate World locations 38 receive special bar CelebrateSHE,B
83,Hersheys,Well certainly make note request Melissa,B
84,Hersheys,Well certainly add vote return Dakota,B
85,Hersheys,Hi Phillip The Whozeewhatzit Candy Bar brand new still circulating stores across nation It soon available anywhere Whatchamacallit Candy Bar usually also sold,B
86,Hersheys,We sorry see Lori Please send us DM UPC manufacturing codes bag help,B
87,Hersheys,We sorry hear This product manufactured sold distributed another company General Mills licensing agreement Please send us DM send contact information,B
88,Hersheys,Hola Lamentamos que hayas tenido esta situación Para darle seguimiento tu caso nos puedes mandar un mensaje al número de whatsapp 3316052614 con gusto te atenderemos ¡Que tengas un dulce día,B
89,Hersheys,Yikes Please send us DM UPC manufacturing code box Kim,B
90,Hersheys,Hola Aldo Para darle seguimiento tu caso nos puedes contactar en el numero de whatsapp al 3316052614 ¡Que tengas un duñce día,B
