Company.Name,Account.Number,Country,Reporting.Year,Ticker.Symbol,ISIN,Disclosure.Score,Performance.Band,Parent.Account,Permission,Response.Status,Scope.1..metric.tonnes.CO2e.,Scope.2..metric.tonnes.CO2e.,Country.Location,,Instagram,Twitter,Facebook
CSX Corporation,4120,USA,2013,CSX US,US1264081035,95,A,,Public,AQ*,5268905,300170,"(37.09024, -95.712891)",,officialcsx,CSX,OfficialCSX
3M Company,285,USA,2013,MMM US,US88579Y1010,70,D,,Public,AQ*,4540000,2230000,"(37.09024, -95.712891)",,3m,3M,3M
"Prudential Financial, Inc.",15306,USA,2013,PRU US,US7443201022,63,C,,Public,AQ*,5090,70613,"(37.09024, -95.712891)",,prudential,Prudential,Prudential
"The Home Depot, Inc.",8526,USA,2013,HD US,US4370761029,99,A-,,Public,AQ*,250224,2529646,"(37.09024, -95.712891)",,homedepot,HomeDepot,homedepot
Las Vegas Sands Corporation,10494,USA,2013,LVS US,US5178341070,98,A-,,Public,AQ*,225157,821527,"(37.09024, -95.712891)",,las_vegas_sands,LasVegasSands,lasvegassands
Bank of America,1452,USA,2013,BAC US,US0605051046,98,A,,Public,AQ*,116666,1421829,"(37.09024, -95.712891)",,bankofamerica,BankofAmerica,BankofAmerica
"American International Group, Inc.",699,USA,2013,AIG US,US0268747849,62,D,,Not public,AQ*,,,"(37.09024, -95.712891)",,aigdirect,AIGinsurance,AIGInsurance
Mondelez International Inc,42037,USA,2013,MDLZ US,,91,B,,Public,AQ*,1075761,954755,"(37.09024, -95.712891)",,mondelez_international,MDLZ,mondelezinternational
FedEx Corporation,6287,USA,2013,FDX US,US31428X1063,80,B,,Public,AQ*,14602697,959109,"(37.09024, -95.712891)",,fedex,FedEx,FedEx
Union Pacific Corporation,19845,USA,2013,UNP US,US9078181081,98,B,,Public,AQ*,11595509,407176,"(37.09024, -95.712891)",,uprr,UnionPacific,unionpacific
Duke Energy Corporation,5052,USA,2013,DUK US,US26441C2044,67,C,,Public,AQ*,123430000,,"(37.09024, -95.712891)",,duke_energy,DukeEnergy,Duke Energy
"Franklin Resources, Inc.",6684,USA,2013,BEN US,US3546131018,86,C,,Public,AQ*,8175,29552,"(37.09024, -95.712891)",,franklintempleton,FTI_Global,franklintempleton
"Medtronic, Inc.",11651,USA,2013,MDT US,US5850551061,61,D,,Public,AQ*,31460,170685,"(37.09024, -95.712891)",,medtronic,Medtronic,Medtronic
Kimberly-Clark Corporation,10148,USA,2013,KMB US,US4943681035,72,C,,Public,AQ*,2461675,2967804,"(37.09024, -95.712891)",,kccorp,KCCorp,KimberlyClarkCorp
Thermo Fisher Scientific Inc.,19016,USA,2013,TMO US,US8835561023,75,D,,Public,AQ*,64863,297992,"(37.09024, -95.712891)",,thermofisherscientific,thermofisher,thermofisher
Norfolk Southern Corp.,13425,USA,2013,NSC US,US6558441084,90,B,,Public,AQ*,4925238,252854,"(37.09024, -95.712891)",,norfolksouthern,nscorp,norfolksouthern
Chevron Corporation,3191,USA,2013,CVX US,US1667641005,97,A-,,Public,AQ*,58559220,3849319,"(37.09024, -95.712891)",,chevron,Chevron,Chevron
Twenty-First Century Fox,13126,USA,2013,FOX US,,97,A-,,Public,AQ*,62360,376022,"(37.09024, -95.712891)",,,,
Newmont Mining Corporation,13117,USA,2013,NEM US,US6516391066,92,B,,Public,AQ*,4016150,1182740,"(37.09024, -95.712891)",,,NewmontCorp,NewmontCorporation
Google Inc.,7616,USA,2013,GOOG US,US38259P5089,93,B,,Public,AQ*,37187,1149988,"(37.09024, -95.712891)",,google,Google,Google
Microsoft Corporation,11930,USA,2013,MSFT US,US5949181045,96,A,,Public,AQ*,48516,1207419,"(37.09024, -95.712891)",,microsoft,Microsoft,Microsoft
"Adobe Systems, Inc.",333,USA,2013,ADBE US,US00724F1012,97,A,,Public,AQ*,2744,22995,"(37.09024, -95.712891)",,adobe,Adobe,Adobe
The Coca-Cola Company,3564,USA,2013,KO US,US1912161007,90,A-,,Public,AQ*,2551626,1138377,"(37.09024, -95.712891)",,thecocacolaco,CocaColaCo,TheCocaColaCo
Bristol-Myers Squibb,2191,USA,2013,BMY US,US1101221083,96,B,,Public,AQ*,269734,262565,"(37.09024, -95.712891)",,bristolmyerssquibb,bmsnews,BristolMyersSquibb
State Street Corporation,17690,USA,2013,STT US,US8574771031,87,C,,Public,AQ*,10009.07,98756,"(37.09024, -95.712891)",,,StateStreet,StateStreetCorp
"Lowe's Companies, Inc.",11017,USA,2013,LOW US,US5486611073,85,D,,Public,AQ*,303721,2552740,"(37.09024, -95.712891)",,loweshomeimprovement,Lowes,lowes
General Electric Company,7166,USA,2013,GE US,US3696041033,72,C,,Public,AQ*,1970000,2905000,"(37.09024, -95.712891)",,generalelectric,generalelectric,GE
Oracle Corporation,14013,USA,2013,ORCL US,US68389X1054,79,C,,Public,AQ*,16481,440773,"(37.09024, -95.712891)",,oracle,Oracle,Oracle
