,user,content,score,prediction
0,CSX,Take business North Etowah Industrial Park This uniquely certified CSX Tennessee Select Site direct CSX rail access meets rigorous criteria infrastructure utility availability sustainability,A,A
1,CSX,Avoid freight frights Always remember safe around railroad tracks Happy Halloween,A,A
2,CSX,CSX Senior IT Security Manager Jacob Thompson uses skills obtained Navy help ensure CSX systems protected keep information security priority CybersecurityAwarenessMonth yearround IAmCSX BestPlacesIT VeteranEmployer,A,A
3,CSX,We salute brave men women put lives line emergencies help need Through CSXPrideInService initiative proud work partners like support heroic men women throughout year FirstRespondersDay,A,A
4,CSX,Congrats Stephanie Denton CSX Director Freight Claims amp Damage Prevention 2021 Women Rail honoree Stephanie delivering innovative solutions good protect customers freight,A,A
5,CSX,CSX proud sponsor 2021 event promotes economic development minorityowned businesses Stop booth October 23rd learn CSX employment opportunities Fortune 500 company,A,A
6,CSX,Join CSX Virtual Job Fair Saturday October 23rd Discover rewarding career great benefits company helps keep essential goods moving across America Register virtual job fair today,A,A
7,CSX,CSX employees deliver America ’ critical goods safely reliably efficiently And go distance meet commitments — customers communities shareholders Learn Access CSX Q3 2021 performance information,A,A
8,CSX,From increased hiring deploying new technologies CSX delivering several initiatives keep operations fluid support nation ’ SupplyChains moving goods fast communities Access Q3 2021 performance information,A,A
9,CSX,CSX Q3 results reflect relentless focus providing comprehensive SupplyChain solutions effectively address fluctuating demand capacity customers ’ unique business needs Learn More Download CSX Q3 2021 performance information,A,A
10,CSX,CSX CEO Jim Foote provides insights Q3 2021 earnings results Download performance information,A,A
11,CSX,Tune LIVE today 430 pm ET CSX announces financial operating results Q3 2021 Nasdaq,A,A
12,CSX,For Jessica CSX provides fulfilling career moving freight keep America ’ supply chains fluid also comprehensive benefits help build future Plan future — apply today start career CSX IAmCSX,A,A
13,CSX,CSX proud named 2021 Climate Leadership Award recipient This recognition testament commitment CSX employees — leadership railroaders implement emission reduction strategies every day CSXESG,A,A
14,CSX,CSX proud serve customers share relentless commitment safety By going 2020 without hazardous materials release due controllable factors 71 shippers earned CSX Chemical Safety Excellence Award,A,A
15,CSX,highlights CSX ’ operational improvements growth opportunities including pending acquisition Pan Am Railways Kevin Boone CSX EVP Sales Marketing discusses many stakeholder benefits proposed deal,A,A
16,CSX,The 316acre Highway 223 East Site Jackson TN designated CSX Select Site CSX Select Sites provide companies easy development decisions reduces construction time expedites bringing products market Learn,A,A
17,CSX,Don ’ offside railroad crossing arms coming Respect crossing—don ’ risk life train coming Always safe around train tracks,A,A
18,CSX,CSX proud launch new leadingedge Responder Incident Training RIT train deliver advanced hazardous materials safety training events emergency first responders throughout 23state network Learn,A,A
19,CSX,As part CSXPrideInService initiative CSX partnering build home military veteran Jacksonville FL Watch employee volunteers set foundation valued community member follow us fall project takes shape,A,A
20,CSX,For 21year CSX employee Brandon best part railroad operations job close familylike ties among team members If ’ ready make switch supportive work environment apply CSX today IAMCSX,A,A
21,CSX,The new CSX Responder Incident Training train rolled Fredericksburg Virginia week Local first responders completed handson exercises CSX Hazardous Materials team responding railrelated emergencies involving freight trains,A,A
22,CSX,CSX values dedication leadership members military bring company communities We ’ proud leading employer veterans support nation ’ military members first responders CSXPrideInService,A,A
23,CSX,We ’ excited see innovative sustainable industrial development continue gain momentum Tennessee Welcome Memphis Regional Megasite,A,A
24,CSX,CSX celebrating BlueStarWelcomeWeek Join us support CSXPrideInService partner welcoming home activeduty transitioning military families moving new communities Learn,A,A
25,CSX,Thank CSX employees wore red today bring attention importance safety around railroad tracks CSX remains committed rail safety—both crews communities cross tracks every day StopTrackTragedies RailSafetyWeek,A,A
26,CSX,Flashing lights railroad crossing A train approaching even ’ see yet Do proceed lights turn gates go It illegal dangerous go around lowered gates RailSafetyWeek StopTrackTragedies,A,A
27,CSX,This Friday Sept 24 ’ encouraging employees wear red rail safety We hope ’ join us help spread word importance safety around railroad tracks RailSafetyWeek StopTrackTragedies,A,A
28,CSX,Crossing tracks bicycle requires extra caution attention Narrow wheels get caught rails If possible walk dont ride across And always cross 90degree angle Its one way StopTrackTragedies RailSafetyWeek,A,A
29,CSX,With nearly 1 5 CSX employees served military supporting veterans core Hear Jonathan Bautista veteran CSX service desk specialist like work CSX amp join team takes pride service IAmCSX,A,A
30,CSX,During RailSafetyWeek CSX partnering Operation Lifesaver raise awareness safety around railroad tracks We ’ committed helping StopTrackTragedies hope ’ join us,A,A
31,CSX,CSXs Train Inspection Portals helping transform way operate enabling us good monitor maintain health assets We use innovative technology like Train Inspection Portals deliver safe fast reliable service CSXInnovates,A,A
32,CSX,Safety important part work CSX Manager Train Operations Traci Harris makes sure ’ always top mind team keeping trains moving yard Be part team looks Join CSX IAmCSX,A,A
33,CSX,Heavy metal music ears See CSX manages big freight moves like huge power transformers heading Florida Learn expertise innovative approaches advanced technology help us effectively move dimensional commodities CSXInnovates,A,A
34,CSX,Twenty years ago first responders demonstrated true heroism face unimaginable act terrorism As continually honor thank nation ’ heroes sacrifices make neverforget lost lives September11 CSXPrideInService,A,A
35,CSX,Our commitment serving serve including first responder families remains strong In partnership ’ proud award 140 students CSXPrideInService Scholarship Congratulations year ’ recipients,A,A
36,CSX,There multiple reasons CSX Intermodal Service Employee Lawanda enjoys work – quick pace interesting assignments What tops list Helping efficiently move essential goods across America Discover rewarding career CSX IAmCSX,A,A
37,CSX,Dont let bad choices take game Stay safe around railroad tracks When see tracks think train,A,A
38,CSX,CSX President CEO Jim Foote address Cowen 14th Annual Global Transportation amp Sustainable Mobility Conference virtually Friday September 10 945 ET Watch webcast,A,A
39,CSX,We ’ proud work yearround CSXPrideInService partners support country ’ military members families We kicked backtoschool season delivering 1400 backpacks filled school supplies military kids,A,A
40,CSX,If ’ warehouse facility mill CSX provide safe costeffective reliable shipment options Learn,A,A
41,CSX,24 hours day 7 days week — railroad never sleeps This LaborDay see CSX locomotive community give wave crew Their hard work dedication helps keep goods use moving across country,A,A
42,CSX,CSX President CEO Jim Foote recognized 2021 Ultimate CEO Learn,A,A
43,CSX,CSX Police agents recently joined forces NationalNightOut To assist children need strengthen policecommunity relationships officers helped prepare 2050 backpacks kids heading back school CSXPrideInService,A,A
44,CSX,There ’ nothing puzzling Ryan Dorsey enjoys CSX Freight Conductor – gets position freight cars trains efficiently deliver critical goods across country You career purpose – Apply CSX today IAmCSX,A,A
45,CSX,More stakeholders voicing support CSXPan Am merger Planned investments Pan Am infrastructure benefit northeastern states freight shippers passenger rail—ultimately making New England rail network efficient safe,A,A
46,CSX,Through CSXPrideInService ’ proud help deliver familiar feeling home nation ’ service members ’ deployed continue provide support return,A,A
